Month,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
Dec-17,4.559999943,5.00124979,4.654500008,4.947500229,4.733500004,5.007500172,4.514500141,4.928750038,240248000,1240844000
Dec-18,3.162250042,4.315000057,3.177000046,4.250999928,3.249500036,4.367000103,3.111500025,4.183499813,463840000,890804000
Dec-19,5.046750069,6.013000011,5.191500187,5.984250069,5.195499897,6.045249939,5.009250164,5.959750175,138864000,603044000
Dec-20,12.86900043,13.60124969,12.89999962,13.60674953,13.02000046,13.73124981,12.76325035,13.5,97884000,401300000
Dec-21,27.30500031,33.21900177,27.71899986,32.42699814,28.1439991,33.28900146,27.14500046,31.42099953,266530000,713758000
Dec-22,13.92700005,18.53100014,14.03600025,18.0720005,14.26200008,18.79000092,13.88399982,17.71100044,310490000,656589000
Dec-23,45.4659996,49.81299973,45.50299835,50.07699966,46.07699966,50.43299866,45.00999832,49.41199875,233648000,509728000
Dec-24,138.2599945,138.8300018,138.6300049,140.2599945,140.4499969,140.5399933,137.8200073,137.9499969,163769200,171682800
Dec-99,0.072135001,0.098697998,0.074478999,0.097786002,0.076563001,0.098828003,0.072135001,0.096093997,98304000,402432000
Feb-00,0.077344,0.138021007,0.079035997,0.140365005,0.079687998,0.142187998,0.074478999,0.133203,92976000,1019568000
Feb-01,0.182551995,0.241926998,0.179688007,0.247916996,0.184634998,0.254166991,0.170833007,0.224999994,250440000,1108512000
Feb-02,0.417917013,0.546917021,0.416000009,0.534416974,0.433750004,0.552749991,0.410416991,0.53125,688272000,3988548000
Feb-03,0.080833003,0.107500002,0.080833003,0.108499996,0.082916997,0.112416998,0.077749997,0.106666997,581508000,3548844000
Feb-04,0.183667004,0.201000005,0.182667002,0.202083007,0.186582997,0.202749997,0.182417005,0.197082996,320244000,1747500000
Feb-05,0.190833002,0.239167005,0.194582999,0.241583005,0.195417002,0.244083002,0.189667001,0.237083003,432900000,3132120000
Feb-06,0.361167014,0.422250003,0.363499999,0.395916998,0.369082987,0.422666997,0.357250005,0.393332988,280740000,2356956000
Feb-07,0.505999982,0.575833023,0.516667008,0.580500007,0.519999981,0.581833005,0.504999995,0.56666702,403050000,1081848000
Feb-08,0.532500029,0.68599999,0.532249987,0.675499976,0.547999978,0.689750016,0.528999984,0.648000002,393932000,2184296000
Feb-09,0.182500005,0.245749995,0.181500003,0.246749997,0.19325,0.249249995,0.180250004,0.236750007,396948000,1983400000
Feb-10,0.386249989,0.447250009,0.397500008,0.44600001,0.406500012,0.44749999,0.382999986,0.434249997,393396000,1515508000
Feb-11,0.555499971,0.640500009,0.552749991,0.64200002,0.575999975,0.654250026,0.544499993,0.633750021,654104000,3470096000
Feb-12,0.37349999,0.412750006,0.373250008,0.411249995,0.377499998,0.422500014,0.368250012,0.406749994,278868000,1888588000
Feb-13,0.303499997,0.318500012,0.30399999,0.31825,0.310000002,0.321249992,0.301250011,0.312750012,277804000,882096000
Feb-14,0.386500001,0.469999999,0.386000007,0.472750008,0.388000011,0.476249993,0.382999986,0.466250002,157248000,902836000
Feb-15,0.48300001,0.560000002,0.490500003,0.559499979,0.492500007,0.5625,0.473500013,0.553250015,123820000,676904000
Feb-16,0.619499981,0.800999999,0.630500019,0.797249973,0.638999999,0.802999973,0.618749976,0.783999979,289884000,1068660000
Feb-17,2.426749945,2.998250008,2.512249947,2.978250027,2.549999952,3.023000002,2.392499924,2.94749999,372744000,1651092000
Feb-18,5.110000134,6.292250156,5.34250021,6.227000237,5.642499924,6.299250126,5.099999905,6.128250122,415300000,1674604000
Feb-19,3.612499952,4.073750019,3.618249893,3.979749918,3.669749975,4.131999969,3.564500093,3.958499908,324944000,1516748000
Feb-20,5.892499924,7.819250107,6.008250237,7.867499828,6.027750015,7.907999992,5.886250019,7.537250042,189752000,1133252000
Feb-21,13.05325031,15.17099953,13.23700047,15.33024979,13.27075005,15.37250042,12.90275002,14.94999981,169152000,824436000
Feb-22,21.01499939,26.25900078,22.38699913,26.70499992,23.79999924,26.92499924,20.88999939,25.60000038,354829000,810595000
Feb-23,19.69099998,23.67000008,20.65500069,23.66399956,21.10400009,23.88800049,19.61100006,23.45400047,410015000,1117995000
Feb-24,62.09999847,80.79000092,63.02700043,79.11199951,63.19100189,82.39399719,61.65000153,78.50499725,369146000,865100000
Feb-99,0.036719002,0.052604001,0.037239999,0.049479,0.038541999,0.054687999,0.036068,0.048307002,67728000,612768000
Jan-00,0.078254998,0.098438002,0.077214003,0.097525999,0.079687998,0.100520998,0.072916999,0.09375,71184000,604560000
Jan-01,0.120833002,0.229166999,0.124739997,0.229102001,0.139322996,0.237499997,0.117707998,0.214844003,243720000,1018704000
Jan-02,0.518750012,0.605499983,0.497999996,0.597582996,0.528083026,0.605499983,0.497999996,0.569999993,774360000,1838808000
Jan-03,0.082167,0.113082998,0.083499998,0.110917002,0.087250002,0.115667,0.079667002,0.109333001,550992000,2039976000
Jan-04,0.182166994,0.213582993,0.182583004,0.214667007,0.189583004,0.215666994,0.176249996,0.210999995,393684000,1093344000
Jan-05,0.172250003,0.203167006,0.171499997,0.196500003,0.176917002,0.206,0.170499995,0.195666999,336492000,1093380000
Jan-06,0.306416988,0.387082994,0.318500012,0.385417014,0.320832998,0.389667004,0.305417001,0.379999995,315780000,914760000
Jan-07,0.506332994,0.617833018,0.503000021,0.601333022,0.515667021,0.625333011,0.49849999,0.583832979,467976000,1501638000
Jan-08,0.561749995,0.852999985,0.582499981,0.82525003,0.604499996,0.856249988,0.55825001,0.815750003,414484000,1464472000
Jan-09,0.180250004,0.228249997,0.180250004,0.229249999,0.186749995,0.235750005,0.177000001,0.223250002,413128000,1824424000
Jan-10,0.405000001,0.469500005,0.384750009,0.472000003,0.411249995,0.474000007,0.378749996,0.464249998,478168000,1067916000
Jan-11,0.388000011,0.622250021,0.394250005,0.618250012,0.398000002,0.626250029,0.385500014,0.601249993,651384000,3493312000
Jan-12,0.344500005,0.376749992,0.338,0.37349999,0.348500013,0.381000012,0.337500006,0.365750015,347372000,1274152000
Jan-13,0.298999995,0.328500003,0.299499989,0.328750014,0.303499997,0.329750001,0.297749996,0.317750007,287592000,695020000
Jan-14,0.385749996,0.405000001,0.384000003,0.409000009,0.390500009,0.411000013,0.383249998,0.403499991,162944000,409492000
Jan-15,0.48300001,0.516749978,0.478500009,0.517750025,0.487500012,0.518750012,0.476999998,0.512499988,113680000,357948000
Jan-16,0.670249999,0.824500024,0.677749991,0.822250009,0.695749998,0.836000025,0.661249995,0.8125,227944000,841452000
Jan-17,2.506000042,2.773000002,2.527750015,2.794250011,2.579999924,2.797250032,2.477750063,2.721250057,362756000,1501996000
Jan-18,4.894499779,6.144249916,4.983749866,6.171249866,4.987500191,6.231750011,4.862500191,6.111249924,355616000,914704000
Jan-19,3.266000032,3.892750025,3.199749947,4.003749847,3.378999949,4.021999836,3.192250013,3.812750101,470104000,2511528000
Jan-20,5.808000088,6.4375,5.901750088,6.321499825,5.931749821,6.487500191,5.781750202,6.224999905,205384000,470536000
Jan-21,12.96749973,13.78174973,12.61450005,13.86750031,13.09399986,13.99925041,12.58600044,13.62724972,163980000,580424000
Jan-22,22.01199913,30.27700043,21.94400024,30.12100029,22.8579998,30.71100044,20.88800049,29.78499985,383413000,913982000
Jan-23,14.47399998,19.95000076,14.26500034,20.36499977,14.56400013,20.62800026,14.0340004,19.40500069,353285000,655163000
Jan-24,47.48500061,62.90000153,47.56900024,62.77399826,48.18399811,63.49300003,47.31999969,62.25999832,294654000,773100000
Jan-99,0.041536,0.045832999,0.039583001,0.045313001,0.041666999,0.048827998,0.038802002,0.041276,227520000,2714688000
Jul-00,0.220833004,0.316145986,0.219791993,0.309895992,0.232291996,0.322135001,0.208333001,0.303124994,105552000,777936000
Jul-01,0.286291987,0.371167004,0.282499999,0.374042004,0.301667005,0.377916992,0.280250013,0.36491701,406296000,1714152000
Jul-02,0.098499998,0.177917004,0.092249997,0.182417005,0.100500003,0.194582999,0.091167003,0.174583003,739524000,4837140000
Jul-03,0.154667005,0.208749995,0.157167003,0.211166993,0.160166994,0.214582995,0.152999997,0.206,420912000,2794788000
Jul-04,0.119000003,0.172499999,0.118417002,0.162750006,0.122500002,0.172749996,0.115332998,0.162499994,294948000,1114500000
Jul-05,0.212750003,0.239500001,0.21525,0.238000005,0.221332997,0.244167,0.211833,0.235583007,315168000,1871496000
Jul-06,0.293166995,0.373833001,0.294499993,0.377833009,0.300166994,0.378500015,0.286166996,0.368000001,174696000,1055550000
Jul-07,0.698333025,0.788167,0.71716702,0.778333008,0.717499971,0.798833013,0.696166992,0.774333,238770000,711492000
Jul-08,0.275999993,0.466500014,0.275750011,0.46875,0.287250012,0.469500005,0.267500013,0.453999996,487236000,2987520000
Jul-09,0.253749996,0.324999988,0.252249986,0.326000005,0.254500002,0.330249995,0.242750004,0.320499986,373972000,1205860000
Jul-10,0.226500005,0.284999996,0.228249997,0.275750011,0.233750001,0.287,0.223000005,0.271750003,462612000,2664476000
Jul-11,0.34224999,0.403250009,0.344999999,0.403750002,0.349000007,0.407000005,0.339749992,0.3935,529580000,1143420000
Jul-12,0.308499992,0.347250015,0.309249997,0.344999999,0.312249988,0.347499996,0.30399999,0.336250007,219284000,616008000
Jul-13,0.349249989,0.367249995,0.35225001,0.367249995,0.354250014,0.369500011,0.349000007,0.36500001,140388000,480532000
Jul-14,0.44325,0.486250013,0.4375,0.484250009,0.446749985,0.49000001,0.435499996,0.481000006,127496000,567816000
Jul-15,0.481249988,0.515250027,0.482749999,0.510500014,0.488249987,0.522499979,0.47725001,0.507250011,145764000,594252000
Jul-16,1.159999967,1.427999973,1.166499972,1.42750001,1.184000015,1.431249976,1.150750041,1.402250051,218488000,514508000
Jul-17,3.546750069,4.209750175,3.483249903,4.202499866,3.605499983,4.248250008,3.46449995,4.152249813,496556000,1369132000
Jul-18,5.852250099,6.407999992,5.921000004,6.370999813,6.05975008,6.414999962,5.831500053,6.261250019,197036000,367508000
Jul-19,3.88774991,4.434999943,3.930249929,4.466499805,3.960999966,4.472249985,3.875,4.361750126,197772000,709756000
Jul-20,9.520750046,10.59500027,9.529999733,10.61474991,9.575750351,10.79224968,9.413000107,10.43299961,266284000,542676000
Jul-21,17.91525078,20.85350037,18.1609993,20.69849968,18.83799934,20.875,17.8654995,20.35025024,183497000,749060000
Jul-22,14.17500019,17.97500038,14.52299976,18.16300011,14.97099972,18.24399948,14.05500031,17.69199944,385935000,760538000
Jul-23,41.84400177,47.4640007,42.10300064,47.49399948,42.17900085,48.08800125,41.34600067,46.74200058,198209000,963769000
Jul-24,111.5199966,135.75,103.7300034,134.9100037,111.9899979,136.1499939,102.5400009,132.4199982,173911000,486833300
Jul-99,0.038281001,0.046875,0.037760001,0.046354,0.039843999,0.048177,0.035677001,0.045051999,43632000,452304000
Jun-00,0.244791999,0.358723998,0.244270995,0.360285997,0.247005001,0.366667002,0.238280997,0.33724001,275088000,1209192000
Jun-01,0.352957994,0.412625015,0.35958299,0.413875014,0.378708005,0.414999992,0.345625013,0.398833007,581928000,1759200000
Jun-02,0.140000001,0.276250005,0.142333001,0.275667012,0.149083003,0.280333012,0.136916995,0.268750012,739356000,3182808000
Jun-03,0.189166993,0.230083004,0.187999994,0.221416995,0.193333,0.231250003,0.183833003,0.213,544128000,1904868000
Jun-04,0.162667006,0.200000003,0.161750004,0.195250005,0.167082995,0.200917006,0.160667002,0.193582997,252576000,700824000
Jun-05,0.222832993,0.238417,0.222666994,0.238333002,0.224583,0.244917005,0.214750007,0.233333007,262308000,2408412000
Jun-06,0.327167004,0.409500003,0.324667007,0.402999997,0.337666988,0.411500007,0.318666995,0.393166989,281736000,837336000
Jun-07,0.575999975,0.716666996,0.581332982,0.726999998,0.587832987,0.731167018,0.57366699,0.705833018,322002000,1297326000
Jun-08,0.476500005,0.626999974,0.467999995,0.621249974,0.480749995,0.633750021,0.464749992,0.614250004,584140000,1225208000
Jun-09,0.263500005,0.293749988,0.262499988,0.293000013,0.266750008,0.305000007,0.252249986,0.287499994,445164000,1022764000
Jun-10,0.262499988,0.324000001,0.255250007,0.317999989,0.265249997,0.327749997,0.255250007,0.314249992,366480000,967636000
Jun-11,0.385250002,0.498750001,0.385250002,0.478500009,0.39199999,0.499500006,0.371499985,0.477499992,433956000,1467884000
Jun-12,0.291750014,0.338750005,0.293249995,0.345499992,0.30250001,0.346249998,0.290749997,0.338499993,304424000,972720000
Jun-13,0.349999994,0.368000001,0.350250006,0.370999992,0.354499996,0.386999995,0.345750004,0.361999989,224148000,1159588000
Jun-14,0.457749993,0.493000001,0.458999991,0.490249991,0.462249994,0.493250012,0.455749989,0.485000014,157608000,474592000
Jun-15,0.505999982,0.55675,0.502749979,0.559499979,0.508249998,0.564999998,0.499249995,0.553250015,224304000,529460000
Jun-16,1.133749962,1.194000006,1.131000042,1.212249994,1.142500043,1.213500023,1.114249945,1.191249967,193400000,1017684000
Jun-17,3.574500084,4.118500233,3.59100008,3.998500109,3.625750065,4.212500095,3.552750111,3.934999943,469132000,3692928000
Jun-18,5.882999897,6.625,5.893000126,6.672749996,6.033500195,6.730000019,5.875249863,6.590499878,265372000,665816000
Jun-19,3.397749901,4.125,3.344500065,4.105750084,3.436749935,4.134250164,3.315000057,4.058750153,276040000,641836000
Jun-20,8.727999687,9.550999641,8.766500473,9.526749611,8.837249756,9.642499924,8.657999992,9.407500267,254408000,632180000
Jun-21,16.25225067,19.99925041,16.26449966,20.02675056,16.38825035,20.16250038,15.90324974,19.86375046,243032000,968856000
Jun-22,15.36100006,19.13899994,15.1590004,19.59199905,15.56700039,19.61899948,14.86200047,18.56399918,363252000,686070000
Jun-23,37.72399902,43.50099945,37.47499847,43.80799866,38.86399841,43.99000168,37.35599899,42.67399979,358140000,740465000
Jun-24,113.6210022,139.8000031,115,135.5800018,115,140.7599945,112.0029984,130.6900024,222551200,664696000
Jun-99,0.034896001,0.037760001,0.034115002,0.039843999,0.035546999,0.039843999,0.034115002,0.037239999,36096000,269232000
Mar-00,0.120833002,0.30924499,0.120702997,0.310938001,0.123957999,0.3125,0.119791999,0.224999994,191040000,2415168000
Mar-01,0.174478993,0.288542002,0.181575999,0.294270992,0.188021004,0.298698008,0.166666999,0.279166996,742296000,1990560000
Mar-02,0.379833013,0.48458299,0.369666994,0.492166996,0.384166986,0.504082978,0.348917007,0.48416701,810540000,3124080000
Mar-03,0.100916997,0.123167001,0.101167001,0.120082997,0.103500001,0.123582996,0.100000001,0.118500002,344796000,1681800000
Mar-04,0.172333002,0.219082996,0.172999993,0.219999999,0.176667005,0.222332999,0.171917006,0.217916995,354888000,997128000
Mar-05,0.201333001,0.242667004,0.197999999,0.240999997,0.202749997,0.246666998,0.195583001,0.238582999,378108000,1332384000
Mar-06,0.394167006,0.478583008,0.394917011,0.478917003,0.401582986,0.485249996,0.385500014,0.474249989,293772000,1235472000
Mar-07,0.473333001,0.520833015,0.472499996,0.513666987,0.478166997,0.526666999,0.467332989,0.503332973,428010000,1268376000
Mar-08,0.437999994,0.533999979,0.441500008,0.529250026,0.462000012,0.541750014,0.432749987,0.52275002,449028000,1220528000
Mar-09,0.193000004,0.261249989,0.189500004,0.263999999,0.204500005,0.296249986,0.186749995,0.257499993,682768000,1604604000
Mar-10,0.405250013,0.453249991,0.415749997,0.452499986,0.420749992,0.458499998,0.40200001,0.446500003,324104000,830832000
Mar-11,0.432749987,0.567499995,0.436250001,0.54124999,0.446500003,0.574750006,0.425249994,0.54124999,655112000,1947184000
